District,Neighborhood,Num_Of_Room,Area,Age,Apt_Floor,Credit_Eli,Items,Num_of_Bath,Floor_basement,Floor_first floor,Floor_interstage,Floor_top floor,Heat_type_Kombi,Heat_type_Merkezi,Heat_type_Merkezi (Pay Ölçer),Usage_Boş,Usage_Kiracılı,Usage_Mülk Sahibi,Price
Çankaya,Harbiye,4,145.0,30,3,1,0,1,0,0,1,0,0,1,0,1,0,0,3275000
Çankaya,Naci Çakır,4,125.0,25,3,1,0,1,0,0,1,0,1,0,0,0,1,0,1779000
Çankaya,İlkadım,3,115.0,25,3,1,0,1,0,0,1,0,1,0,0,0,1,0,1750000
Çankaya,İlkadım,3,110.0,22,14,1,0,1,0,0,1,0,0,1,0,0,1,0,2600000
Çankaya,Naci Çakır,4,125.0,25,2,1,0,1,0,0,1,0,1,0,0,0,1,0,1800000
Sincan,Selçuklu,4,135.0,11,4,1,0,1,0,0,1,0,1,0,0,0,0,1,1429000
Yenimahalle,Ergenekon,4,125.0,25,3,1,0,1,1,0,0,0,1,0,0,1,0,0,975000
Altındağ,Battalgazi,3,115.0,5,3,1,0,1,0,1,0,0,1,0,0,1,0,0,965000
Mamak,Bostancık,4,135.0,4,3,1,0,1,0,1,0,0,1,0,0,1,0,0,1215000
Sincan,Mareşal Çakmak,4,130.0,16,4,1,0,2,0,0,1,0,1,0,0,1,0,0,1289000
Sincan,Selçuklu,3,90.0,21,4,1,0,1,0,1,0,0,1,0,0,0,1,0,719000
Polatlı,Zafer,4,140.0,25,4,1,1,1,0,0,1,0,1,0,0,0,0,1,900000
Çankaya,Mürsel Uluç,6,230.0,25,2,1,0,2,0,0,1,0,1,0,0,0,1,0,2600000
Etimesgut,Göksu,5,190.0,10,29,1,0,2,0,0,1,0,0,0,1,0,1,0,6250000
Çankaya,Seyranbağları,4,115.0,35,3,1,0,1,0,0,1,0,1,0,0,0,0,1,2190000
Mamak,Peyami Safa,4,135.0,15,3,1,0,1,1,0,0,0,1,0,0,0,1,0,855000
Keçiören,Aşağı Eğlence,4,170.0,18,7,1,0,1,0,0,1,0,0,0,1,1,0,0,3699000
Çankaya,Naci Çakır,4,125.0,29,2,1,0,1,0,0,1,0,1,0,0,1,0,0,2560000
Mamak,Çağlayan,4,125.0,15,3,1,0,1,0,0,1,0,1,0,0,0,1,0,1300000
Keçiören,Uyanış,4,115.0,3,4,1,0,2,0,0,1,0,1,0,0,0,1,0,1860000
Pursaklar,Mimar Sinan,4,100.0,10,3,1,0,1,0,1,0,0,1,0,0,1,0,0,973000
Keçiören,Atapark,8,230.0,7,3,1,0,2,1,0,0,0,1,0,0,1,0,0,1570000
Keçiören,Ovacık,5,270.0,2,25,1,0,2,0,0,1,0,0,0,1,0,0,1,6099000
Çankaya,Şehit Cevdet Özdemir,4,135.0,19,3,1,0,2,0,0,1,0,1,0,0,1,0,0,3690000
Çankaya,Karapınar,4,140.0,16,4,1,0,2,0,1,0,0,1,0,0,1,0,0,3620000
Çankaya,Huzur,4,130.0,25,8,1,0,1,0,0,1,0,0,1,0,1,0,0,3475000
Çankaya,Malazgirt,4,175.0,22,3,1,0,1,0,0,1,0,1,0,0,1,0,0,3350000
Çankaya,İlkadım,4,125.0,30,3,1,0,1,0,0,1,0,0,1,0,1,0,0,3250000
Çankaya,Harbiye,4,130.0,23,3,1,0,1,0,0,1,0,0,1,0,1,0,0,2720000
Çankaya,İlkadım,2,95.0,24,3,1,1,1,0,1,0,0,1,0,0,1,0,0,1320000
Keçiören,Karakaya,4,130.0,15,3,1,0,1,0,0,1,0,1,0,0,1,0,0,1199000
Etimesgut,Atakent,4,145.0,25,14,1,0,1,0,0,1,0,0,1,0,0,1,0,2300000
Çankaya,Naci Çakır,4,125.0,22,2,1,0,1,0,0,1,0,1,0,0,0,0,1,2300000
Çankaya,Naci Çakır,4,120.0,28,2,1,0,1,0,0,1,0,1,0,0,0,1,0,1490000
Pursaklar,Yunus Emre,3,100.0,16,5,0,0,1,0,1,0,0,1,0,0,1,0,0,795000
Polatlı,Şehitlik,5,180.0,5,4,1,0,2,0,0,1,0,1,0,0,0,1,0,1400000
Çankaya,Prof. Dr. Ahmet Taner Kışlalı,5,185.0,12,12,1,1,2,0,1,0,0,0,1,0,0,0,1,6250000
Çankaya,Yaşamkent,4,230.0,12,10,1,0,2,0,0,1,0,1,0,0,0,0,1,5500000
Keçiören,Yükseltepe,5,190.0,3,17,1,0,2,0,0,1,0,1,0,0,1,0,0,3275000
Çankaya,İlkadım,4,135.0,25,2,1,0,1,0,0,1,0,1,0,0,1,0,0,2560000
Çankaya,Osman Temiz,5,220.0,25,2,1,1,2,0,0,1,0,1,0,0,0,0,1,3250000
Çankaya,Sokullu Mehmet Paşa,6,260.0,26,3,1,0,3,0,0,1,0,1,0,0,1,0,0,3495000
Keçiören,Ayvalı,4,130.0,11,3,1,0,1,0,0,1,0,1,0,0,0,0,1,2250000
Keçiören,Aşağı Eğlence,4,136.0,21,3,1,0,1,0,0,1,0,1,0,0,1,0,0,2100000
Çankaya,Yukarı Bahçelievler,3,90.0,35,3,1,0,1,0,1,0,0,1,0,0,0,1,0,1650000
Pursaklar,Merkez,5,200.0,4,9,1,0,2,0,0,1,0,0,0,1,0,1,0,2250000
Keçiören,Atapark,3,115.0,15,3,1,0,1,0,1,0,0,1,0,0,1,0,0,795000
Gölbaşı,Gaziosmanpaşa,4,135.0,6,4,1,0,1,0,0,1,0,1,0,0,1,0,0,1850000
Keçiören,Ayvalı,4,125.0,16,3,1,1,1,0,0,1,0,1,0,0,0,1,0,1748000
Mamak,Şirintepe,3,75.0,10,6,1,0,1,0,1,0,0,1,0,0,1,0,0,1028000
Altındağ,Baraj,5,172.0,4,8,0,0,2,0,0,1,0,0,0,1,0,0,1,2600000
Keçiören,Etlik,4,130.0,15,2,1,0,1,0,0,1,0,0,0,1,1,0,0,2015000
Etimesgut,Bağlıca,5,220.0,9,7,1,0,2,0,0,1,0,0,0,1,0,1,0,4900000
Yenimahalle,Pamuklar,4,165.0,6,11,1,0,2,0,0,1,0,0,0,1,0,1,0,3179000
Çankaya,Oran,4,110.0,45,4,1,0,1,0,1,0,0,1,0,0,1,0,0,4200000
Etimesgut,Bağlıca,5,175.0,11,13,1,0,2,0,0,1,0,0,0,1,0,1,0,3649000
Etimesgut,Bağlıca,5,180.0,7,7,1,0,2,0,0,1,0,1,0,0,0,1,0,3549000
Çankaya,Birlik,4,120.0,27,4,1,0,1,0,0,1,0,1,0,0,0,1,0,2300000
Çankaya,Emek,3,90.0,6,3,1,0,1,0,0,1,0,1,0,0,0,1,0,3350000
Çankaya,Metin Akkuş,4,130.0,30,2,1,0,1,0,0,1,0,1,0,0,1,0,0,2695000
Çankaya,Aydınlar,3,125.0,25,2,1,0,1,0,0,1,0,1,0,0,1,0,0,2290000
Çankaya,Huzur,4,130.0,23,3,1,0,1,0,0,1,0,1,0,0,1,0,0,2580000
Çankaya,Şehit Cengiz Karaca,4,130.0,25,8,1,0,1,0,0,1,0,1,0,0,1,0,0,2450000
Çankaya,Akpınar,4,140.0,25,6,1,0,1,0,0,1,0,0,1,0,1,0,0,2625000
Çankaya,Ata,4,140.0,13,4,1,0,1,0,0,1,0,1,0,0,1,0,0,3100000
Mamak,Türközü,4,115.0,5,3,1,0,1,0,1,0,0,1,0,0,0,1,0,1300000
Keçiören,Kanuni,4,130.0,5,3,1,0,1,0,0,1,0,1,0,0,0,0,1,1539000
Çankaya,Naci Çakır,4,100.0,28,3,1,0,1,0,0,1,0,1,0,0,0,1,0,1590000
Çankaya,Mürsel Uluç,4,105.0,15,3,1,1,1,0,1,0,0,1,0,0,1,0,0,1400000
Çankaya,Akpınar,4,155.0,13,4,1,1,1,0,1,0,0,1,0,0,0,0,1,1849000
Çankaya,Sokullu Mehmet Paşa,4,110.0,25,3,1,0,1,0,0,1,0,1,0,0,0,1,0,1375000
Keçiören,Yükseltepe,5,220.0,5,18,1,0,2,0,0,1,0,0,0,1,1,0,0,3600000
Sincan,Fevzi Çakmak,5,180.0,4,13,1,0,2,0,0,1,0,0,0,1,0,1,0,2299000
Çankaya,Akpınar,4,140.0,25,6,1,0,1,0,0,1,0,0,1,0,1,0,0,2625000
Çankaya,Şehit Cevdet Özdemir,3,100.0,30,3,1,0,1,1,0,0,0,1,0,0,0,1,0,875000
Çankaya,Sokullu Mehmet Paşa,4,130.0,25,3,1,0,1,0,0,1,0,1,0,0,1,0,0,2150000
Çankaya,Naci Çakır,4,130.0,29,2,1,0,1,0,0,1,0,1,0,0,1,0,0,2560000
Çankaya,Mürsel Uluç,5,225.0,18,3,1,0,2,0,0,1,0,1,0,0,0,0,1,2250000
Çankaya,Harbiye,4,110.0,25,3,1,0,1,0,0,1,0,1,0,0,1,0,0,1495000
Keçiören,Atapark,4,168.0,1,21,1,0,2,0,0,1,0,0,0,1,1,0,0,3089000
Keçiören,Etlik,4,135.0,16,3,1,0,1,0,0,0,1,0,1,0,1,0,0,2075000
Yenimahalle,İlkyerleşim,4,155.0,17,5,1,0,2,0,0,1,0,1,0,0,0,0,1,2930000
Altındağ,Baraj,5,175.0,3,6,1,0,2,0,0,1,0,0,0,1,0,1,0,3050000
Çankaya,Bayraktar,4,175.0,16,6,1,0,1,1,0,0,0,1,0,0,0,1,0,1700000
Altındağ,Baraj,5,178.0,3,6,1,0,2,0,0,1,0,0,0,1,0,1,0,2875000
Pursaklar,Merkez,5,185.0,10,8,1,0,2,0,0,1,0,1,0,0,0,1,0,3000000
Pursaklar,Merkez,5,185.0,10,8,1,0,2,0,0,1,0,1,0,0,0,1,0,3100000
Keçiören,Hisar,32,130.0,3,5,1,0,1,0,0,1,0,1,0,0,0,0,1,1600000
